sid,groupid,user,group,task,method,duration,duration_fs,success,test_runs,puppet_runs,total_runs,pause_total,pause_count
6,gt1y,user6,g3,task2.2,method_C,1555,1539,true,19,9,28,0,0
6,gt1y,user6,g3,task2.2,method_D,410,398,true,7,0,7,0,0
6,gt1y,user6,g3,task3.2,method_A,1057,1044,true,20,0,20,0,0
6,gt1y,user6,g3,task3.2,method_B,479,464,true,5,0,5,0,0

7,gt1y,user7,g3,task1,method_A,994,981,true,6,3,9,0,0
7,gt1y,user7,g3,task1,method_B,844,844,true,6,2,8,0,0
7,gt1y,user7,g3,task2.1,method_A,275,259,true,3,3,6,0,0
7,gt1y,user7,g3,task2.1,method_C,3870,3806,true,53,46,99,0,0
7,gt1y,user7,g3,task2.1,method_D,601,582,true,2,1,3,0,0
7,gt1y,user7,g3,task2.2,method_A,600,590,true,8,2,10,0,0
7,gt1y,user7,g3,task2.2,method_C,1483,1457,true,13,10,23,0,0
7,gt1y,user7,g3,task2.2,method_D,385,374,true,3,0,3,0,0
7,gt1y,user7,g3,task3.2,method_A,307,297,true,3,0,3,0,0
7,gt1y,user7,g3,task3.2,method_B,527,514,true,7,0,7,0,0

8,gt1y,user8,g3,task1,method_A,1783,1680,true,16,0,16,0,0
8,gt1y,user8,g3,task1,method_B,350,320,true,2,0,2,0,0
8,gt1y,user8,g3,task2.1,method_A,366,342,true,8,0,8,0,0
8,gt1y,user8,g3,task2.1,method_C,6072,6052,true,75,2,77,705,3
8,gt1y,user8,g3,task2.1,method_D,537,460,true,9,0,9,0,0
8,gt1y,user8,g3,task2.2,method_A,394,382,true,7,0,7,0,0
8,gt1y,user8,g3,task2.2,method_C,5392,5342,true,64,1,65,524,2
8,gt1y,user8,g3,task2.2,method_D,331,317,true,6,0,6,0,0
8,gt1y,user8,g3,task3.2,method_A,3654,3642,true,38,1,39,0,0
8,gt1y,user8,g3,task3.2,method_B,2041,2022,true,15,0,15,0,0

9,gt2y,user9,g4,task1,method_A,658,644,true,4,5,9,0,0
9,gt2y,user9,g4,task1,method_B,937,900,true,7,7,14,0,0
9,gt2y,user9,g4,task2.1,method_A,389,253,true,2,0,2,0,0
9,gt2y,user9,g4,task2.1,method_C,2610,2592,true,49,2,51,0,0
9,gt2y,user9,g4,task2.1,method_D,800,780,true,6,2,8,0,0
9,gt2y,user9,g4,task2.2,method_A,505,490,true,2,0,2,0,0
9,gt2y,user9,g4,task2.2,method_C,4500,"",false,9,4,13,0,0
9,gt2y,user9,g4,task2.2,method_D,649,631,true,5,0,5,0,0
9,gt2y,user9,g4,task3.2,method_A,682,652,true,10,9,19,0,0
9,gt2y,user9,g4,task3.2,method_B,1772,1755,true,8,3,11,0,0

10,gt2y,user10,g4,task1,method_A,1789,1763,true,7,0,7,0,0
10,gt2y,user10,g4,task1,method_B,1130,987,true,3,1,4,48,1
10,gt2y,user10,g4,task2.1,method_A,347,332,true,2,0,2,0,0
10,gt2y,user10,g4,task2.1,method_C,6654,6635,true,40,6,46,259,2
10,gt2y,user10,g4,task2.1,method_D,1428,1408,true,5,0,5,0,0
10,gt2y,user10,g4,task2.2,method_A,348,335,true,4,0,4,0,0
10,gt2y,user10,g4,task2.2,method_C,2312,1545,true,23,2,25,0,0
10,gt2y,user10,g4,task2.2,method_D,1397,1384,true,6,0,6,147,1
10,gt2y,user10,g4,task3.2,method_A,443,238,true,4,0,4,0,0
10,gt2y,user10,g4,task3.2,method_B,1047,1032,true,4,1,5,0,0

11,gt1x,user11,g1,task1,method_A,2371,2347,true,40,0,40,0,0
11,gt1x,user11,g1,task1,method_B,1188,1179,true,17,0,17,0,0
11,gt1x,user11,g1,task2.1,method_A,1334,1318,true,29,0,29,0,0
11,gt1x,user11,g1,task2.1,method_C,1978,1962,true,39,1,40,0,0
11,gt1x,user11,g1,task2.1,method_D,691,673,true,13,0,13,0,0
11,gt1x,user11,g1,task2.2,method_A,685,674,true,9,0,9,0,0
11,gt1x,user11,g1,task2.2,method_C,1915,1884,true,31,0,31,0,0
11,gt1x,user11,g1,task2.2,method_D,1151,1137,true,21,0,21,0,0
11,gt1x,user11,g1,task3.2,method_A,996,982,true,8,1,9,0,0
11,gt1x,user11,g1,task3.2,method_B,841,823,true,4,0,4,0,0

12,gt2x,user12,g2,task1,method_A,1599,1586,true,6,4,10,0,0
12,gt2x,user12,g2,task1,method_B,1247,1226,true,8,1,9,0,0
12,gt2x,user12,g2,task2.1,method_A,643,601,true,2,6,8,391,1
12,gt2x,user12,g2,task2.1,method_C,5387,"",false,12,48,60,260,2
12,gt2x,user12,g2,task2.1,method_D,2750,2734,true,13,9,22,0,0
12,gt2x,user12,g2,task2.2,method_A,838,825,true,4,0,4,0,0
12,gt2x,user12,g2,task2.2,method_C,4535,4505,true,19,28,47,213,2
12,gt2x,user12,g2,task2.2,method_D,1429,1414,true,8,0,8,0,0
12,gt2x,user12,g2,task3.2,method_A,599,588,true,4,0,4,0,0
12,gt2x,user12,g2,task3.2,method_B,2036,2020,true,8,0,8,132,1

13,gt1y,user13,g3,task1,method_A,717,710,true,17,0,17,0,0
13,gt1y,user13,g3,task1,method_B,385,375,true,3,0,3,0,0
13,gt1y,user13,g3,task2.1,method_A,287,271,true,4,0,4,0,0
13,gt1y,user13,g3,task2.1,method_C,4281,4238,true,53,69,122,179,1
13,gt1y,user13,g3,task2.1,method_D,1253,1239,true,13,15,28,0,0
13,gt1y,user13,g3,task2.2,method_C,1157,1133,true,28,6,34,0,0
13,gt1y,user13,g3,task2.2,method_A,440,429,true,6,0,6,0,0
13,gt1y,user13,g3,task2.2,method_D,309,297,true,6,0,6,0,0
13,gt1y,user13,g3,task3.2,method_A,508,500,true,4,0,4,0,0
13,gt1y,user13,g3,task3.2,method_B,289,271,true,2,0,2,0,0

14,gt2y,user14,g4,task1,method_A,1235,1224,true,14,4,18,0,0
14,gt2y,user14,g4,task1,method_B,426,414,true,2,0,2,0,0
14,gt2y,user14,g4,task2.1,method_A,245,231,true,2,1,3,0,0
14,gt2y,user14,g4,task2.1,method_C,5097,5083,true,14,99,113,0,0
14,gt2y,user14,g4,task2.1,method_D,2226,2021,true,9,37,46,0,0
14,gt2y,user14,g4,task2.2,method_A,385,374,true,6,2,8,0,0
14,gt2y,user14,g4,task2.2,method_C,895,865,true,3,10,13,0,0
14,gt2y,user14,g4,task2.2,method_D,897,885,true,10,8,18,0,0
14,gt2y,user14,g4,task3.2,method_A,361,349,true,6,1,7,0,0
14,gt2y,user14,g4,task3.2,method_B,726,690,true,4,2,6,0,0
